0.01.137.268 W DEPRECATED: argument '-ncmoe' specified multiple times, use comma-separated values instead (only last value will be used)
0.01.137.583 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.137.814 W srv  llama_server: -----------------
0.01.137.816 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.137.816 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.137.816 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.137.816 W srv  llama_server: -----------------
0.01.138.991 I srv    load_model: loading model '/models/Qwen3.8-Flash-Next-GGUF/UD-IQ3_XXS/Qwen3.8-Flash-Next-UD-IQ3_XXS-00001-of-00003.gguf'
3.10.518.524 I cmn          init: llama threadpool init, n_threads = 16
3.47.666.723 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 122880, kv_unified = 'false'
3.47.709.454 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
3.47.709.493 I srv  llama_server: model loaded
3.47.709.501 I srv  llama_server: listening on http://0.0.0.0:8080
3.47.709.501 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
3.47.709.501 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
3.48.487.400 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.48.487.566 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
3.53.762.513 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2090, progress = 0.02, t =   5.27 s / 396.22 tokens per second
3.57.630.315 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4138, progress = 0.04, t =   9.14 s / 452.60 tokens per second
4.01.594.402 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6186, progress = 0.05, t =  13.11 s / 471.97 tokens per second
4.05.721.366 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8234, progress = 0.07, t =  17.23 s / 477.78 tokens per second
4.09.842.196 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10282, progress = 0.09, t =  21.35 s / 481.49 tokens per second
4.13.963.187 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12330, progress = 0.11, t =  25.48 s / 483.99 tokens per second
4.18.147.915 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14378, progress = 0.12, t =  29.66 s / 484.76 tokens per second
4.22.380.626 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16426, progress = 0.14, t =  33.89 s / 484.64 tokens per second
4.26.635.220 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18474, progress = 0.16, t =  38.15 s / 484.28 tokens per second
4.30.921.932 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20522, progress = 0.18, t =  42.43 s / 483.62 tokens per second
4.35.226.863 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22570, progress = 0.19, t =  46.74 s / 482.89 tokens per second
4.39.567.594 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  24618, progress = 0.21, t =  51.08 s / 481.95 tokens per second
4.43.936.947 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  26666, progress = 0.23, t =  55.45 s / 480.91 tokens per second
4.48.323.249 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  28714, progress = 0.25, t =  59.84 s / 479.88 tokens per second
4.52.788.511 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  30762, progress = 0.26, t =  64.30 s / 478.41 tokens per second
4.57.263.396 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  32810, progress = 0.28, t =  68.78 s / 477.06 tokens per second
5.01.757.490 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  34858, progress = 0.30, t =  73.27 s / 475.75 tokens per second
5.06.268.608 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  36906, progress = 0.32, t =  77.78 s / 474.49 tokens per second
5.10.820.565 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  38954, progress = 0.34, t =  82.33 s / 473.13 tokens per second
5.15.397.009 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  41002, progress = 0.35, t =  86.91 s / 471.78 tokens per second
5.19.999.953 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  43050, progress = 0.37, t =  91.51 s / 470.43 tokens per second
5.24.635.833 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  45098, progress = 0.39, t =  96.15 s / 469.05 tokens per second
5.29.320.775 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  47146, progress = 0.41, t = 100.83 s / 467.56 tokens per second
5.34.005.777 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  49194, progress = 0.42, t = 105.52 s / 466.21 tokens per second
